0.0194003527,0.0118867925
0.0282186949,0.0113962264
0.0299823633,0.0106037736
0.0388007055,0.01
0.0458553792,0.0092075472
0.0582010582,0.0084150943
0.0811287478,0.007509434
0.1075837743,0.006754717
0.1358024691,0.006
0.1657848325,0.0053207547
0.2010582011,0.0046792453
0.2363315697,0.0039622642
0.2645502646,0.0034339623
0.2945326279,0.002754717
0.3315696649,0.0020754717
0.3615520282,0.0015471698
0.3880070547,0.0010188679
0.4144620811,0.0005660377
0.4444444444,0.0001509434
0.467372134,-3.77358490566033E-05
0.4902998236,-0.0002641509
0.5167548501,-0.0003018868
0.5590828924,-0.0003396226
0.5961199295,-0.0003396226
0.6208112875,-0.0003773585
0.6437389771,-0.0006415094
0.6490299824,-0.0010566038
0.6560846561,-0.0015471698
0.6807760141,-0.002
0.6895943563,-0.0015471698
0.6948853616,-0.0008301887
0.7001763668,-0.0002641509
0.7037037037,0.0003396226
0.7107583774,0.0011320755
0.7178130511,0.0019245283
0.7248677249,0.0027169811
0.7319223986,0.003509434
0.7407407407,0.0042264151
0.7566137566,0.0046792453
0.7777777778,0.0050188679
0.8007054674,0.0047924528
0.8289241623,0.0045283019
0.8536155203,0.0041132075
0.8818342152,0.0037735849
0.9082892416,0.0033584906
0.9347442681,0.0030566038
0.9611992945,0.0027169811
0.987654321,0.0028679245
0.9947089947,0.0032075472
